Estación,Tipo de dato,Fecha Inicio/Fin,Duración,Satelites,Latitud,Longitud,Altura (m),Este (m),Norte (m),Declinación,Dist. E1 N,Dist. E2 E,Dist. E1 S,Dist. E2 W,Resist. E1 N/E,Resist. E2 N/E,Resist. E1 S/W,Resist. E2 S/W,DC E1 (V),DC E2 (V),Mag. DC (H1/H2/H3),Calidad,,,,,,,
MT13-GIDCO,MT,May31-Jun01,16h 35m 55s,5-9,4.514°N,75.412°W,2105.02 m,4732460.258,2057236.257,-7.87°,30,10,40,10,424.807,404.230,425.602,547.066,0.015,-0.0011,-0.047 / -0.02 / 0.02,2,,,,,,,
MT14-GIDCO,MT,May29-May30,15h 24m 15s,7-11,4.510°N,75.409°W,1974.14 m,4732791.75,2056792.795,-7.87°,20,30,20,30,1421.633,"635,666","693,002","840,838",-0.0024,0.0076,-0.046 / -0.022 / 0.02,2,,,,,,,
MT15-GIDCO,MT,May30-May31,17h 36m 56s,5-10,4.492°N,75.394°W,2399.68 m,4734449.998,2054796.709,-7.88°,15,12,15,12,"815,274","674,274",1231.291,"754,522",-0.027,-0.0068,-0.047 / -0.023 / 0.022,1,,,,,,,
MT16-GIDCO,MT,Jun04-Jun05,19h 37m 40s,7-13,4.462°N,75.405°W,2301.86 m,4733218.255,2051483.033,-7.88°,17.14,20,17.14,20,"652,990","684,817","631,968","601,769",-0.026,0.00099,-0.047 / -0.021 / 0.00099,2,,,,,,,
MT17-GIDCO,MT,Jun03-Jun04,19h 46m 37s,5-10,4.480°N,75.414°W,2432.9 m,4732225.858,2053476.926,-7.87°,16,14.09,18,14.09,"487,249","447,469","504,821","520,488",-0.022,0.021,-0.05 / -0.02 / 0.021,1,,,,,,,
MT18-GIDCO,MT,Jun01-Jun02,16h 36m 23s,6-10,4.477°N,75.414°W,2466.61 m,4732224.766,2053145.155,-7.87°,16.58,16.76,16.58,16.76,"833,294","727,667","899,165","788,017",0.012,0.024,-0.047 / -0.02  / 0.021,2,,,,,,,
MT19-GIDCO,MT,May26-May27,11h 47m 24s,7-11,4.513°N,75.380°W,2301.53 m,4736011.39,2057113.974,-7.89°,24.15,11,24.15,29,"629,235","719,030","770,544","539,515",-0.008,-0.0039,-0.047 / -0.022 / 0.019,2,,,,,,,
MT20-GIDCO,MT,Jun02-Jun03,16h 57m 46s,7-12,4.461°N,75.402°W,2268.09 m,4733550.872,2051371.356,-7.87°,17.14,13.48,17.14,13.48,"864,878","926,012","933,573","858,418",-0.0061,-0.0094,-0.021 / -0.048 / 0.019,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
