X,Y,Z,formation
4481392.937,1682080.17,1310.532,B1
4481489.379,1682124.98,1302.396,B1
4481584.611,1682169.228,1296.995,B1
4481680.528,1682213.795,1294.278,B1
4481779.022,1682259.558,1294.199,B1
4481881.12,1682306.995,1296.678,B1
4481985.688,1682355.58,1301.554,B1
4482091.252,1682404.629,1308.654,B1
4482196.344,1682453.457,1317.807,B1
4482299.49,1682501.382,1328.841,B1
4482399.221,1682547.719,1341.585,B1
4482494.062,1682591.785,1355.867,B1
4482582.544,1682632.895,1371.516,B1
4482663.718,1682670.61,1388.208,B1
4482738.607,1682705.407,1405.048,B1
4482808.709,1682737.977,1421.006,B1
4482875.515,1682769.016,1435.052,B1
4482940.52,1682799.22,1446.157,B1
4483005.216,1682829.28,1453.29,B1
4483071.1,1682859.89,1455.422,B1
4483139.663,1682891.745,1451.523,B1
4483212.218,1682925.456,1440.825,B1
4483289.051,1682961.155,1424.059,B1
4483370.074,1682998.799,1402.501,B1
4483455.197,1683038.348,1377.426,B1
4483544.329,1683079.762,1350.108,B1
4483637.382,1683122.996,1321.825,B1
4483734.268,1683168.01,1293.851,B1
4483834.895,1683214.764,1267.461,B1
4483939.1,1683263.179,1243.823,B1
4484046.025,1683312.858,1223.084,B1
4484154.449,1683363.233,1204.858,B1
4484263.144,1683413.735,1188.75,B1
4484370.885,1683463.793,1174.37,B1
4484476.447,1683512.838,1161.325,B1
4484578.602,1683560.3,1149.222,B1
4484676.125,1683605.61,1137.669,B1
4484767.847,1683648.226,1126.285,B1
4484853.491,1683688.017,1114.846,B1
4484933.466,1683725.174,1103.251,B1
4485008.199,1683759.896,1091.401,B1
4485078.121,1683792.382,1079.198,B1
4485143.659,1683822.832,1066.544,B1
4485205.241,1683851.444,1053.341,B1
4485263.296,1683878.417,1039.49,B1
4485318.252,1683903.949,1024.896,B1
4485370.498,1683928.224,1009.553,B1
4485420.391,1683951.403,993.556,B1
4485468.282,1683973.654,977.002,B1
4485514.522,1683995.138,959.988,B1
4485559.466,1684016.019,942.613,B1
4485603.465,1684036.461,924.975,B1
4485646.872,1684056.629,907.171,B1
4477660.971,1674024.041,1989.55,B1
4477716.37,1673957.847,1983.97,B1
4477771.792,1673891.625,1978.596,B1
4477827.262,1673825.345,1973.635,B1
4477882.804,1673758.98,1969.292,B1
4477938.443,1673692.499,1965.772,B1
4477994.202,1673625.874,1963.282,B1
4478050.108,1673559.075,1962.026,B1
4478106.256,1673491.986,1962.149,B1
4478163.119,1673424.042,1963.468,B1
4478221.281,1673354.547,1965.7,B1
4478281.327,1673282.8,1968.564,B1
4478343.842,1673208.105,1971.78,B1
4478409.409,1673129.761,1975.066,B1
