OBJECTID,ID_EstGrav,Tipo_EstGrav,Fecha,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_Sobre_NivelMar,Altura_Elipsoidal,GravObs,GravTeor_Elip,GravTeor_Somig,Corr_AireLibre,Anom_AireLibre,CorrBouguer,AnomSimpleBouguer,AnomBouguerTotal,AnomRegional,AnomResidual,Estado,Equipo,AUTOR
19,GRAV_17,1,30/05/2026,4734213.491,2056290.965,9377,4.505504667,-75.3961751,2155.07,2187.065,977547.631,978064.5387,978064.5387,674.928259,158.0205872,241.0888576,-83.06827037,-67.37794433,-66.92386175,-0.454082581,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
20,GRAV_18,1,1/06/2026,4733708.521,2056292.317,9377,4.505501867,-75.40072496,2145.01,2177.044,977549.172,978064.5386,978064.5386,671.8357784,156.4691461,239.984203,-83.51505684,-69.23466948,-66.69074174,-2.543927747,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
21,GRAV_19,1,1/06/2026,4736183.527,2056707.279,9377,4.509327539,-75.37843703,2286.13,2318.037,977523.1697,978064.5927,978064.5927,715.3462182,173.9232654,255.5264211,-81.60315569,-70.01477094,-67.83896944,-2.175801503,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
22,GRAV_20,1,1/06/2026,4737628.528,2053278.783,9377,4.478367519,-75.36531716,2441.73,2473.151,977499.9713,978064.1568,978064.1568,763.2143986,199.0289125,272.6252531,-73.59634064,-61.50227233,-63.67990972,2.177637385,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
23,GRAV_21,1,2/06/2026,4737518.182,2053508.328,9377,4.480439986,-75.36631805,2514.43,2545.904,977487.148,978064.1859,978064.1859,785.6659744,208.6281044,280.6451052,-72.0170008,-59.10813787,-62.75416516,3.64602729,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
24,GRAV_22,1,1/06/2026,4737887.374,2053706.866,9377,4.482246061,-75.3629974,2550.87,2582.349,977478.2254,978064.2112,978064.2112,796.9129014,210.9270749,284.6625822,-73.73550725,-59.36733335,-63.31437599,3.947042639,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
25,GRAV_23,1,30/05/2026,4737478.802,2054244.453,9377,4.487095333,-75.36669429,2789.11,2820.682,977426.3683,978064.2794,978064.2794,870.4624652,232.5514072,310.934975,-78.38356779,-61.61873247,-63.30235105,1.68361858,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
26,GRAV_24,1,31/05/2026,4736947.797,2054080.739,9377,4.485599392,-75.37147389,2498.57,2530.165,977488.3656,978064.2583,978064.2583,780.808919,204.9161865,278.9101327,-73.99394618,-60.34492753,-62.90058917,2.555661639,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
27,GRAV_25,1,31/05/2026,4736034.722,2051310.619,9377,4.460523725,-75.37961978,1957.48,1988.693,977592.6975,978063.9069,978063.9069,613.7106598,142.5012322,219.2215245,-76.72029235,-64.03442477,-61.91698114,-2.117443636,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
28,GRAV_26,1,4/06/2026,4735873.42,2050585.714,9377,4.453964039,-75.38105195,1788.98,1820.092,977624.924,978063.8153,978063.8153,561.6803912,122.7890671,200.6359669,-77.84689986,-63.55722227,-61.41714096,-2.140081317,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
