OBJECTID,ID_EstMag,Tipo,Fecha,Estado,Equipo,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_SobreNivelMar,Altura_Elipsoidal,AnomMag,FieldCorr_nT,Std_dev_nT,AUTOR
35,MAG36,1,28/04/2026,Inactiva,GEM GSM-19,4741673.834,2050867.176,9377,4.4595337,-75.3288088,2246,2226,21.60990099,29978.1099,0.307280303,UIS
36,MAG37,1,28/04/2026,Inactiva,GEM GSM-19,4741428.727,2049870.114,9377,4.4505104,-75.3309888,2394,2383,18.51284247,29968.71284,0.303809747,UIS
37,MAG38,1,28/04/2026,Inactiva,GEM GSM-19,4741046.361,2049717.497,9377,4.4491194,-75.3344295,2280,2264,18.31157718,29969.91158,0.393385135,UIS
38,MAG39,1,22/04/2026,Inactiva,GEM GSM-19,4733216.573,2057077.386,9377,4.5154434,-75.4051902,2116,2101,34.86170604,30030.06171,0.50874519,UIS
39,MAG40,1,23/04/2026,Inactiva,GEM GSM-19,4733194.755,2057423.584,9377,4.5185732,-75.4053971,2135,2112,-3.089930796,29993.41007,0.268559028,UIS
40,MAG41,1,22/04/2026,Inactiva,GEM GSM-19,4732674.662,2057793.87,9377,4.5219059,-75.4100943,2022,1996,35.99133117,30036.49133,0.464795471,UIS
41,MAG42,1,3/05/2026,Inactiva,GEM GSM-19,4731953.183,2056850.486,9377,4.5133539,-75.4165667,2377,2366,-9.660029283,29982.03997,1.86607946,UIS
42,MAG43,1,6/05/2026,Inactiva,GEM GSM-19,4732114.354,2054412.277,9377,4.4913117,-75.4150418,2364,2337,-28.77440397,29948.7256,1.183728636,UIS
43,MAG44,1,7/05/2026,Inactiva,GEM GSM-19,4732667.611,2052753.849,9377,4.4763321,-75.4100079,2275,2264,41.37761589,30011.77762,1.242844245,UIS
44,MAG45,1,4/05/2026,Inactiva,GEM GSM-19,4731477.144,2051060.965,9377,4.4609892,-75.4206833,2506,2466,-47.1887108,29902.91129,2.74383288,UIS
45,MAG46,1,4/05/2026,Inactiva,GEM GSM-19,4731622.686,2050514.929,9377,4.4560561,-75.4193559,2236,2232,62.23890728,30024.63891,0.90155894,UIS
46,MAG47,1,4/05/2026,Inactiva,GEM GSM-19,4732709.763,2050704.222,9377,4.4577999,-75.4095676,2168,2138,77.22447712,30041.72448,1.065314742,UIS
47,MAG48,1,5/05/2026,Inactiva,GEM GSM-19,4733787.741,2050202.457,9377,4.4532945,-75.3998409,2090,2070,130.3818944,30092.78189,0.947617777,UIS
48,MAG49,1,5/05/2026,Inactiva,GEM GSM-19,4733693.464,2049520.888,9377,4.4471287,-75.4006703,1782,1775,382.566019,30345.66602,9.723590906,UIS
49,MAG50,1,5/05/2026,Inactiva,GEM GSM-19,4734702.781,2049679.123,9377,4.4485891,-75.3915816,2089,2088,124.2733003,30083.2733,1.581822814,UIS
50,93,1,11/05/2026,Inactiva,Scintrex ENVI,4732886.295,2049032.191,9377,4.442686,-75.407928,,1801.5,30.55438616,,,SGC
51,1001,1,2/04/2019,Inactiva,Scintrex ENVI,4733090.108,2056182.086,9377,4.507344,-75.406303,,1943.8,-31.9199957,,,SGC
52,1002,1,2/04/2019,Inactiva,Scintrex ENVI,4733000.197,2056648.633,9377,4.51156,-75.407127,,1985.3,2.217418343,,,SGC
53,1003,1,2/04/2019,Inactiva,Scintrex ENVI,4732904.356,2057133.779,9377,4.515944,-75.408005,,1990.2,-9.720387749,,,SGC
54,1004,1,2/04/2019,Inactiva,Scintrex ENVI,4732885.709,2057635.812,9377,4.520483,-75.408188,,2011.5,6.263119262,,,SGC
55,1005,1,3/04/2019,Inactiva,Scintrex ENVI,4733023.464,2055998.283,9377,4.50568,-75.406898,,1945.3,-12.37684268,,,SGC
56,1006,1,3/04/2019,Inactiva,Scintrex ENVI,4732829.915,2056371.723,9377,4.509051,-75.408653,,1946.7,18.55045098,,,SGC
57,1007,1,3/04/2019,Inactiva,Scintrex ENVI,4732719.664,2056828.717,9377,4.51318,-75.40966,,1987.1,9.132827838,,,SGC
58,1008,1,3/04/2019,Inactiva,Scintrex ENVI,4732728.136,2057342.604,9377,4.517827,-75.409599,,2009.1,-19.22948951,,,SGC
59,1009,1,3/04/2019,Inactiva,Scintrex ENVI,4732612.78,2056022.862,9377,4.50589,-75.410599,,2188.3,-20.4716719,,,SGC
60,1010,1,"04/04/2019, 17/05/2019",Inactiva,Scintrex ENVI,4732214.612,2056475.39,9377,4.50997,-75.4142,,2010.2,-3.218938638,,,SGC
61,1011,1,"05/04/2019, 18/05/2019",Inactiva,Scintrex ENVI,4734303.096,2054258.039,9377,4.489982,-75.395317,,2402.8,-345.9023355,,,SGC
62,1012,1,"05/04/2019, 18/05/2019",Inactiva,Scintrex ENVI,4734010.118,2054775.784,9377,4.494655,-75.397972,,2282.1,-338.6335981,,,SGC
63,1013,1,"05/04/2019, 18/05/2019",Inactiva,Scintrex ENVI,4734154.054,2055277.943,9377,4.4992,-75.39669,,2242.2,7.956744973,,,SGC
64,1014,1,"05/04/2019, 18/05/2019",Inactiva,Scintrex ENVI,4734419.75,2055749.179,9377,4.503469,-75.39431,,2195,23.31713891,,,SGC
65,1015,1,"05/04/2019, 18/05/2019",Inactiva,Scintrex ENVI,4734001.421,2056013.313,9377,4.505845,-75.398087,,2214.5,5.737299403,,,SGC
66,1016,1,5/04/2019,Inactiva,Scintrex ENVI,4733509.374,2056236.111,9377,4.507845,-75.402527,,2131.9,-29.27656718,,,SGC
67,1017,1,5/04/2019,Inactiva,Scintrex ENVI,4733441.664,2056738.303,9377,4.512384,-75.403152,,2116.4,62.14885178,,,SGC
68,1018,1,5/04/2019,Inactiva,Scintrex ENVI,4732833.246,2057913.679,9377,4.522994,-75.408669,,1998.3,28.83988715,,,SGC
69,1019,1,"07/05/2019, 11/05/2019",Inactiva,Scintrex ENVI,4731252.118,2050161.576,9377,4.45285,-75.422684,,2102.6,54.51032027,,,SGC
70,1020,1,"07/05/2019, 11/05/2019",Inactiva,Scintrex ENVI,4732008.285,2050924.391,9377,4.45977,-75.415894,,2144.4,48.90446027,,,SGC
71,1021,1,8/05/2019,Inactiva,Scintrex ENVI,4732965.997,2051142.994,9377,4.461775,-75.407272,,2237.1,48.5189833,,,SGC
72,1022,1,8/05/2019,Inactiva,Scintrex ENVI,4733852.78,2050682.261,9377,4.457635,-75.399269,,2304.3,67.75316693,,,SGC
73,1023,1,8/05/2019,Inactiva,Scintrex ENVI,4732530.084,2051977.609,9377,4.469309,-75.411224,,2372.7,92.94203281,,,SGC
74,1024,1,10/05/2019,Inactiva,Scintrex ENVI,4732243.405,2052894.132,9377,4.477588,-75.413834,,2421.8,-12.38091379,,,SGC
75,1025,1,10/05/2019,Inactiva,Scintrex ENVI,4732064.316,2054054.934,9377,4.488079,-75.415482,,2409,-46.16230666,,,SGC
76,1026,1,10/05/2019,Inactiva,Scintrex ENVI,4732227.56,2055257.406,9377,4.498957,-75.414047,,2328.7,-50.14422856,,,SGC
77,1027,1,11/05/2019,Inactiva,Scintrex ENVI,4734316.715,2049855.867,9377,4.450176,-75.395065,,2092.7,65.01235749,,,SGC
78,1028,1,11/05/2019,Inactiva,Scintrex ENVI,4735398.608,2049246.454,9377,4.444697,-75.3853,,2109.3,9.576118699,,,SGC
