X,Y,Z,formation
4736727.14,2058596.134,2512.995767,R1_1
4736727.14,2058306.155,2560.607119,R1_1
4732097.23,2051351.698,2129.900161,C1
4732097.23,2051460.174,1700.48321,C1
4732097.23,2051620.706,1478.351117,C1
4732097.23,2051861.176,1132.207262,C1
4732097.23,2052068.457,549.879867,C1
4732097.23,2052278.379,156.1968859,C1
4732097.23,2052567.26,-273.5054411,C1
4732097.23,2052867.252,-564.2118713,C1
4732097.23,2053150.846,-864.4086867,C1
4732097.23,2053324.132,-1131.66983,C1
4732097.23,2053691.183,-1358.442977,C1
4732097.23,2053823.657,-1485.449825,C1
4732097.23,2053998.381,-1705.168957,C1
4732097.23,2053928.644,-2007.366881,C1
4732097.23,2053590.852,-2116.805712,C1
4732097.23,2053150.961,-2185.196434,C1
4732097.23,2052660.909,-2163.41176,C1
4732097.23,2052253.513,-2113.108159,C1
4732097.23,2051766.831,-2113.108159,C1
4732097.23,2051391.411,-2113.108159,C1
4732097.23,2051064.182,-1969.628693,C1
4732097.23,2050813.984,-1795.410527,C1
4732097.23,2050540.657,-1711.237649,C1
4732097.23,2050257.491,-1507.328725,C1
4732097.23,2050150.493,-1208.243976,C1
4732097.23,2050150.493,-850.2909661,C1
4732097.23,2050133.352,-559.1114692,C1
4732097.23,2050039.177,-243.2282176,C1
4732097.23,2050122.241,108.7786754,C1
4732097.23,2050173.468,363.4378324,C1
4732097.23,2050168.032,874.6658072,C1
4732097.23,2050204.193,1301.09414,C1
4732097.23,2050214.556,1693.430405,C1
4732097.23,2050043.746,1877.506281,C1
4733520,2053830.456,-1665.599375,C1
4733520,2053460.716,-1348.256855,C1
4733520,2052902.149,-1065.603596,C1
4733520,2052384.684,-660.5842742,C1
4733520,2051945.8,-212.9693233,C1
4733520,2051716.024,428.9242008,C1
4733520,2051380.399,824.8316795,C1
4733520,2050756.691,967.4110442,C1
4733520,2050341.576,653.3665673,C1
4733520,2050092.851,405.1881247,C1
4733520,2049803.165,124.6038758,C1
4733520,2049442.176,-106.5797472,C1
4733520,2049104.156,-385.4066289,C1
4733520,2048939.412,-861.1326709,C1
4733520,2049009.597,-1301.930997,C1
4733520,2049309.205,-1600.33012,C1
4733520,2049706.519,-1826.217306,C1
4733520,2050147.868,-1893.637196,C1
4733520,2050581.548,-1963.830265,C1
4733520,2051070.487,-2115.003217,C1
4733520,2051523.961,-2166.118929,C1
4733520,2051882.302,-2158.051118,C1
4733520,2052338.653,-2127.125858,C1
4733520,2052905.073,-2102.016123,C1
4733520,2053508.147,-2102.016123,C1
4733520,2053820.815,-2085.050732,C1
4733520,2053994.391,-1975.814559,C1
4735148.64,2056655.929,-2146.286186,C4
4735148.64,2056870.114,-1946.627548,C4
4735148.64,2057011.597,-1553.869867,C4
4735148.64,2056815.104,-1082.748288,C4
4735148.64,2056447.803,-766.1496458,C4
4735148.64,2055906.166,-678.9044574,C4
4735148.64,2055439.991,-605.17482,C4
4735148.64,2054949.256,-521.6417971,C4
4735148.64,2054453.465,-597.1997889,C4
4735148.64,2054149.099,-745.6820345,C4
4735148.64,2053893.068,-997.7696585,C4
4735148.64,2053745.369,-1169.51489,C4
4735148.64,2053311.696,-1273.069947,C4
4735148.64,2053036.056,-1208.979493,C4
4735148.64,2052655.1,-1063.508226,C4
4735148.64,2052255.01,-955.9307559,C4
4735148.64,2051848.44,-869.6378765,C4
4735148.64,2051316.561,-653.4118426,C4
4735148.64,2050827.449,-536.9160455,C4
4735148.64,2050247.359,-493.5514542,C4
4735148.64,2049735.784,-493.5514542,C4
4735148.64,2049443.791,-461.8056558,C4
4735148.64,2048899.671,-336.5282437,C4
4736727.14,2057136.95,-2210.320401,C4
4736727.14,2057376.66,-2027.73584,C4
4736727.14,2057658.426,-1854.90613,C4
4736727.14,2057850.098,-1563.156106,C4
4736727.14,2057850.098,-1238.056758,C4
4736727.14,2057745.557,-863.4193259,C4
4736727.14,2057373.399,-701.4207744,C4
4736727.14,2056816.165,-686.2703358,C4
4736727.14,2056428.004,-748.0907739,C4
4736727.14,2055991.133,-748.0907739,C4
4736727.14,2055598.654,-626.0010424,C4
4736727.14,2055213.123,-331.3119922,C4
4736727.14,2054516.148,-227.0671364,C4
4736727.14,2053967.999,-319.8422153,C4
4736727.14,2053533.313,-527.2294971,C4
4736727.14,2053138.923,-792.2163336,C4
4736727.14,2052685.449,-1154.67716,C4
4736727.14,2052353.27,-1352.641304,C4
4736727.14,2051942.418,-1472.801599,C4
4736727.14,2051510.921,-1447.570734,C4
4736727.14,2051101.074,-1308.224527,C4
4736727.14,2050611.039,-1297.793745,C4
4736727.14,2050106.942,-1385.421151,C4
4736727.14,2049912.337,-1676.432966,C4
4736727.14,2050076.795,-1927.853203,C4
4736727.14,2050503.88,-2133.276824,C4
4736727.14,2050728.987,-2241.550889,C4
4737992.727,2055634.62,-2236.443591,C4
4737992.727,2055700.55,-1975.717603,C4
4737992.727,2055572.314,-1701.838042,C4
4737992.727,2055341.751,-1449.443132,C4
4737992.727,2055139.004,-1246.69706,C4
4737992.727,2054941.131,-1048.824946,C4
4737992.727,2054764.633,-805.1418232,C4
4737992.727,2054524.056,-646.5733832,C4
4737992.727,2054255.657,-535.7148653,C4
4737992.727,2053901.901,-527.096874,C4
4737992.727,2053663.406,-710.6258276,C4
4737992.727,2053397.572,-824.7640581,C4
4737992.727,2053107.494,-955.5728523,C4
4737992.727,2052903.755,-1078.10778,C4
4737992.727,2052669.588,-1253.746582,C4
4737992.727,2052431.644,-1356.214758,C4
4737992.727,2052088.59,-1498.561242,C4
4737992.727,2051884.751,-1736.128704,C4
4737992.727,2051896.066,-1990.238941,C4
4737992.727,2052216.057,-2231.949542,C4
4739380.51,2054886.977,-2065.017891,C4
4739380.51,2055137.462,-1814.558297,C4
4739380.51,2055210.074,-1379.458103,C4
4739380.51,2055127.971,-943.1972793,C4
4739380.51,2054913.035,-629.7288635,C4
4739380.51,2054545.759,-475.4692371,C4
4739380.51,2054178.656,-305.4923166,C4
4739380.51,2053240.866,-293.8785428,C4
4739380.51,2052867.251,-589.2041021,C4
4739380.51,2052398.481,-770.6996132,C4
4739380.51,2052042.236,-1174.661108,C4
4739380.51,2052048.286,-1688.723286,C4
4739380.51,2052327.523,-2110.376857,C4
4740590.566,2053662.954,-1913.823514,C4
4740590.566,2053950.333,-1668.862126,C4
4740590.566,2054148.209,-1318.049321,C4
4740590.566,2054091.558,-800.34003,C4
4740590.566,2053981.823,-412.7014989,C4
4740590.566,2053861.75,-100.8069427,C4
4740590.566,2053667.11,31.11394062,C4
